Country,Suburb,CrestaZone
Australia,Gold Coast,AUS_1
Australia,Ingham,AUS_10
Australia,Cairns,AUS_11
Australia,Cape York,AUS_12
Australia,Fair Cape,AUS_13
Australia,Gulf,AUS_14
Australia,Inland QLD,AUS_15
Australia,North NT,AUS_16
Australia,Darwin,AUS_17
Australia,Remainder NT,AUS_18
Australia,Kununurra-Broome,AUS_19
Australia,Brisbane,AUS_2
Australia,Pilbara,AUS_20
Australia,Geraldton Central Coast,AUS_21
Australia,Perth,AUS_22
Australia,Albany-Bunbury,AUS_23
Australia,Remainder WA,AUS_24
Australia,Remainder SA,AUS_25
Australia,East Eyre and York Peninsulas,AUS_26
Australia,Adelaide,AUS_27
Australia,Adelaide Hills and South coast,AUS_28
Australia,Tasmania,AUS_29
Australia,Sunshine Coast,AUS_3
Australia,Western Victoria,AUS_30
Australia,South-West Victoria,AUS_31
Australia,South-East Victoria,AUS_32
Australia,Melbourne,AUS_33
Australia,Dandenong Ranges,AUS_34
Australia,South Coast NSW,AUS_35
Australia,Victoria Snowy Mountains,AUS_36
Australia,Victoria Riverland,AUS_37
Australia,South-West NSW,AUS_38
Australia,Australian Capital Territory,AUS_39
Australia,Wide Bay,AUS_4
Australia,Illawarra,AUS_40
Australia,Sydney South,AUS_41
Australia,Sydney West,AUS_42
Australia,Sydney North,AUS_43
Australia,Central Coast NSW,AUS_44
Australia,Blue Mountains,AUS_45
Australia,Newcastle,AUS_46
Australia,Northern Slopes,AUS_47
Australia,Mid-North coast,AUS_48
Australia,Far North coast,AUS_49
Australia,Rockhampton,AUS_5
Australia,Marlborough,AUS_6
Australia,Mackay,AUS_7
Australia,Proserpine and Offshore Islands,AUS_8
Australia,Townsville,AUS_9
